 website,product price,discount,product name,product rate,product link
jumia,900 DA,no discount,no name,no stars,https://www.jumia.com.dz/ecouteurs-sans-fil-livepods-lp40-pro-bluetooth-5.1-blanc-lenovo-mpg32513.html
jumia,"2,600 DA",no discount,no name,no stars,https://www.jumia.com.dz/w35-max-90h-dautonomie-casque-sans-fil-bluetooth-5.3-aux-tf-card-bt-hoco-mpg32568.html
jumia,"1,950 DA",no discount,no name,no stars,https://www.jumia.com.dz/generique-casque-ecouteurs-sans-fil-bluetooth-noir-514895.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/carte-memoire-ultra-microsdxc-uhs-i-128-gb-vitesse-100-mbs-sandisk-mpg31290.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/eq2-ecouteurs-sans-fil-bluetooth-5.3-7h-de-lecture-continue-original-blanc-hoco-mpg32582.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-ew03-plus-ecouteurs-bluetooth-tws-basse-stereo-sans-fil-blanc-514682.html
jumia,580 DA,no discount,no name,no stars,https://www.jumia.com.dz/ldnio-support-de-telephone-de-voiture-mg03-noir-541071.html
jumia,130 DA,no discount,no name,no stars,https://www.jumia.com.dz/hoco-x89-wind-charging-data-cable-type-micro-charge-et-un-transfert-de-donnees-rapides-luna-568168.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-power-bank-30000-mah-fast-charge-3.0-22.5-w-usb-type-c-j101b-noir-545861.html
jumia,"2,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/j101a-batterie-externe-charge-rapide-22.5w-20000mah-blanc-hoco-mpg32498.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/ecouteur-bluetooth-fitness-anker-soundcore-life-u2i-noir-anker-mpg31410.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-violet-565188.html
jumia,"10,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-kr-pro-ltd-montre-connectee-pour-homme-ecran-amoled-colore-hd-surveillance-de-la-sante-24h-1.43-modes-de-sport-100-pouces-grise-537945.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-hoco-mpg32088.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-bleu-557886.html
jumia,"21,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/galaxy-a04e-332gb-6.5-hd-pls-lcd-5000-mah-samsung-mpg31715.html
jumia,"23,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/xiaomi-redmi-a3x-6.7-128go-4ram-5000mah-aurora-green-589531.html
jumia,"23,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/xiaomi-redmi-a3x-6.7-128go-4ram-5000mah-midnight-black-589529.html
jumia,850 DA,no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-smart-watch-t800-ultra-montre-intelligente-connectee-pour-enfant-noir-515495.html
jumia,"10,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-kr-pro-ltd-montre-connectee-pour-homme-ecran-amoled-colore-hd-surveillance-de-la-sante-24h-1.43-modes-de-sport-100-pouces-grise-537945.html
jumia,"3,699 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477495.html
jumia,"2,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-ky11-fitness-tracker-montre-intelligente-470543.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477496.html
jumia,"3,600 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477497.html
jumia,"5,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-ky11-fitness-tracker-montre-intelligente-461150.html
jumia,"3,499 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477499.html
jumia,"1,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-smart-watch-t1000-ultra-serie-9-ecran-199-infinite-display-571443.html
jumia,"1,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-smart-watch-t1000-ultra-serie-9-ecran-208-infinite-display-571887.html
jumia,"1,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/lenovo-ecouteurs-sans-fil-bluetooth-livepods-lp40-pro-bluetooth-5.1-noir-514936.html
jumia,900 DA,no discount,no name,no stars,https://www.jumia.com.dz/ecouteurs-sans-fil-livepods-lp40-pro-bluetooth-5.1-blanc-lenovo-mpg32513.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-ew03-plus-ecouteurs-bluetooth-tws-basse-stereo-sans-fil-blanc-514682.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/ecouteur-bluetooth-fitness-anker-soundcore-life-u2i-noir-anker-mpg31410.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/eq1-ecouteurs-sans-fil-bluetooth-5.3-7h-de-lecture-continue-original-blanc-hoco-mpg32515.html
jumia,"2,650 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-ew72-ecouteurs-sans-fil-bluetooth-anc-bluetooth-5.4-sans-fil-ecran-led-autonomie-4h-588064.html
jumia,"2,600 DA",no discount,no name,no stars,https://www.jumia.com.dz/w35-max-90h-dautonomie-casque-sans-fil-bluetooth-5.3-aux-tf-card-bt-hoco-mpg32569.html
jumia,"2,600 DA",no discount,no name,no stars,https://www.jumia.com.dz/w35-max-90h-dautonomie-casque-sans-fil-bluetooth-5.3-aux-tf-card-bt-hoco-mpg32568.html
jumia,"8,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/anker-soundcore-life-q20i-hybride-actif-suppression-du-bruit-casque-sans-fil-sur-oreille-bluetooth-40h-longue-anc-playtime-561654.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-violet-565188.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-hoco-mpg32088.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-blanc-565186.html
jumia,"2,200 DA",no discount,no name,no stars,https://www.jumia.com.dz/nokia-ecouteurs-nokia-essential-true-wireless-e3100-orange-505859.html
jumia,"3,150 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-ecouteurs-sans-fil-hoco-ew50-bluetooth-blanc-513427.html
jumia,150 DA,no discount,no name,no stars,https://www.jumia.com.dz/hoco-x89-cable-usb-fast-charge-3a-1000mm-type-iphone-568167.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/ldnio-chargeur-multiprise-rallonge-universelle-sc3604-3-prise-6-usb-5v-3.4a-2500w-2m-538243.html
jumia,"2,180 DA",no discount,no name,no stars,https://www.jumia.com.dz/chargeur-samsung-super-fast-charging-25w-type-c-samsung-mpg31497.html
jumia,"5,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/chargeur-original-ultra-rapide-45-w-usb-c-port-usb-type-c-to-c-cable-5a1.8m-samsung-mpg31548.html
jumia,80 DA,no discount,no name,no stars,https://www.jumia.com.dz/hoco-cable-usb-vers-micro-usb-x88-charge-rapide.-luna-588091.html
jumia,900 DA,no discount,no name,no stars,https://www.jumia.com.dz/ecouteurs-sans-fil-livepods-lp40-pro-bluetooth-5.1-blanc-lenovo-mpg32513.html
jumia,130 DA,no discount,no name,no stars,https://www.jumia.com.dz/hoco-x89-wind-charging-data-cable-type-micro-charge-et-un-transfert-de-donnees-rapides-luna-568168.html
jumia,"6,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/spigen-antichoc-de-protection-iphone-15-pro-pochette-liquid-crystal-coque-original-558016.html
jumia,"3,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/generique-verre-trempe-s23-fe-protection-ecran-samsung-galaxy-s23-fe-tempered-glass-558013.html
jumia,"6,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/spigen-antichoc-de-protection-iphone-15-pro-max-pochette-liquid-crystal-coque-original-534359.html
jumia,"1,300 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-coque-anti-choque-silicone-pour-iphone-14-14-pro-et-14-pro-max-transparent-462778.html
jumia,"8,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/ringke-pochette-original-antichoc-pour-iphone-15-pro-max-coque-matte-black-durable-etui-534606.html
jumia,"10,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/spigen-pochette-tough-armor-coque-antichoc-pour-samsung-galaxy-s24-ultra-avec-support-556299.html
jumia,"6,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/spigen-pochette-optik-armor-antichoc-pour-samsung-galaxy-s23-ultra-protection-camera-502379.html
jumia,"8,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/generique-pochette-portefeuille-cuir-porte-cartes-antichoc-magnetique-galaxy-s23-ultra-546795.html
jumia,"8,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/ringke-antichoc-pochette-solide-iphone-15-pro-max-etui-protection-rigide-original-korea-538860.html
jumia,"8,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/spigen-pochette-liquid-crystal-coque-pour-samsung-galaxy-s24-ultra-crystal-clear-556301.html
jumia,"2,950 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-antichoc-pochette-transparente-iphone-78-incassable-protection-decran-hd-544537.html
jumia,"2,950 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-antichoc-pochette-transparente-iphone-78-incassable-protection-decran-hd-544536.html
jumia,"6,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/spigen-pochette-liquid-air-coque-antichoc-de-protection-pour-samsung-galaxy-s23-ultra-558026.html
jumia,"3,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/generique-pochette-pour-samsung-galaxy-s23-ultra-antichoc-s23-ultra-compatible-magsafe-507787.html
jumia,"7,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/ringke-antichoc-magsafe-transparent-samsung-galaxy-s23-ultra-pochette-original-korea-541504.html
jumia,"1,900 DA",no discount,Lenovo Ecouteurs Sans Fil Bluetooth- Livepods Lp40 Pro - Bluetooth 5.1 - Noir,3.8 out of 5,https://www.jumia.com.dz/lenovo-ecouteurs-sans-fil-bluetooth-livepods-lp40-pro-bluetooth-5.1-noir-514936.html
jumia,80 DA,no discount,"Hoco Câble USB vers Micro-USB ""X88"" charge rapide. LUNA",4.3 out of 5,https://www.jumia.com.dz/hoco-cable-usb-vers-micro-usb-x88-charge-rapide.-luna-588091.html
jumia,"3,600 DA",no discount,"Anker Soundcore K20i, écouteurs sans fil semi-intra-auriculaires, Bluetooth 5.3, 36 heures de lecture, charge rapide, son et appels clairs avec 2 microphones ENC, égaliseur personnalisé, IPX5, contrôle par application",4.3 out of 5,https://www.jumia.com.dz/anker-soundcore-k20i-ecouteurs-sans-fil-semi-intra-auriculaires-bluetooth-5.3-36-heures-de-lecture-charge-rapide-son-et-appels-clairs-avec-2-microphones-enc-egaliseur-personnalise-ipx5-controle-par-application-598880.html
jumia,900 DA,no discount,Lenovo Ecouteurs Sans Fil Bluetooth - Livepods Lp40 Pro - Bluetooth 5.1 Blanc,3.9 out of 5,https://www.jumia.com.dz/ecouteurs-sans-fil-livepods-lp40-pro-bluetooth-5.1-blanc-lenovo-mpg32513.html
